ISO,Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After
ALB,Albania,Gross national savings,Percent of GDP,,28.799,42.318,43.561,47.23,49.743,43.356,42.808,45.06,42.502,40.416,43.553,-8.523,10.009,24.835,23.183,22.81,16.56,7.395,13.54,22.958,25.772,25.532,20.753,20.431,22.348,23.696,24.647,19.8,18.262,16.24,15.396,13.68,13.859,13.419,13.054,12.823,13.237,13.347,13.558,2008
ALB,Albania,"Inflation, average consumer prices",Index,,,,,,,,,,,4.043,4.036,5.478,17.857,33.035,40.49,43.645,49.203,65.522,79.05,79.358,79.389,81.867,86.139,88.158,90.688,92.83,95.031,97.822,101.108,103.407,107.076,110.746,112.986,115.436,118.602,122.16,125.825,129.6,133.488,2012
ALB,Albania,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,-0.18,35.717,225.996,85.005,22.565,7.793,12.734,33.166,20.646,0.39,0.039,3.121,5.218,2.344,2.869,2.363,2.371,2.937,3.359,2.274,3.548,3.427,2.023,2.169,2.743,3,3,3,3,2012
ALB,Albania,"Inflation, end of period consumer prices",Index,,,,,,,,,,,4.043,4.043,8.25,27.768,36.36,42.113,44.643,52.413,74.466,80.934,80.102,83.469,86.414,87.867,90.765,92.765,94.655,97.034,100,102.162,105.961,109.519,111.341,114.047,116.883,120.389,124.001,127.721,131.553,135.499,2012
ALB,Albania,"Inflation, end of period consumer prices",Percent change,,,,,,,,,,,,--,104.047,236.58,30.941,15.82,6.009,17.405,42.074,8.687,-1.029,4.203,3.528,1.681,3.298,2.204,2.038,2.513,3.057,2.162,3.719,3.357,1.664,2.43,2.486,3,3,3,3,3,2012
ALB,Albania,Six-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Volume of imports of goods and services,Percent change,,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,-2.788,11.491,6.611,0.82,-4.349,5.048,-5.449,4.248,3.87,3.522,6,7,7,2011
ALB,Albania,Volume of Imports of goods,Percent change,,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,-10.186,31.411,30.279,-14.3,28.615,10.223,11.957,12.48,7.515,-5.593,12.667,4.805,1.941,-2.793,6.415,-5.897,5.555,4.35,3.925,2.987,3.426,4.475,2011
ALB,Albania,Volume of exports of goods and services,Percent change,,0,0,0,0,0,0,0,0,0,--,0,0,0,0,--,0,--,-19.051,24.363,88.951,16.254,23.9,3.878,9.51,20.63,5.845,10.582,23.735,16.188,-5.933,24.752,11.297,3.287,9.7,5.621,4.881,5,6,6,2011
ALB,Albania,Volume of exports of goods,Percent change,,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,-13.472,33.237,25.413,-7.266,23.107,8.348,25.946,24.279,2.69,9.513,25.786,16.1,-8.206,28.581,13.712,4.001,11.056,6.073,5.214,4.7,4.247,4.158,2011
ALB,Albania,Value of oil imports,U.S. dollars,Billions,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.022,0.02,0.031,0.044,0.098,0.134,0.136,0.159,0.177,0.226,0.32,0.611,0.831,0.533,0.636,0.951,0.748,0.781,0.785,0.794,0.804,0.815,0.827,2011
ALB,Albania,Value of oil exports,U.S. dollars,Billions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.034,0.082,0.12,0.126,0.28,0.414,0.415,0.456,0.479,0.502,0.526,0.551,0.577,2011
ALB,Albania,Unemployment rate,Percent of total labor force,,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.2,12.545,13.615,13.6,13.3,15,13,10.5,10.5,10.5,10.5,11.5,2011
ALB,Albania,Employment,Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Population,Persons,Millions,2.671,2.724,2.781,2.838,2.897,2.957,3.016,3.076,3.138,3.199,3.197,3.141,3.11,3.095,3.033,3.037,3.063,3.088,3.061,3.1,3.058,3.074,3.093,3.111,3.127,3.142,3.147,3.161,3.182,3.194,3.21,3.226,3.243,3.259,3.275,3.291,3.308,3.324,3.341,2009
ALB,Albania,General government revenue,National currency,Billions,,,,,,,,,,,,,,,,,,58.838,99.65,121.028,126.101,139.151,154.595,167.15,184.356,204.162,229.519,251.553,290.897,298.978,319.623,330.449,329.829,343.691,361.168,379.939,398.564,418.355,442.196,2012
ALB,Albania,General government revenue,Percent of GDP,,,,,,,,,,,,,,,,,,,18.262,24.168,25.518,24.109,23.853,24.826,24.082,24.424,24.891,26.016,25.996,26.705,25.975,25.835,25.063,24.177,24.293,24.277,24.23,24.111,24,24.054,2012
ALB,Albania,General government total expenditure,National currency,Billions,,,,,,,,,,,,,,,,,,101.006,142.304,165.616,170.635,186.053,192.507,199.202,222.111,232.34,258.941,283.313,346.783,384.317,371.462,376.183,371.504,387.031,410.548,437.581,463.19,489.9,518.755,2012
ALB,Albania,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,,,31.35,34.512,34.919,32.624,31.893,30.914,28.699,29.426,28.326,29.351,29.278,31.836,33.389,30.025,28.531,27.232,27.356,27.596,27.906,28.021,28.104,28.219,2012
ALB,Albania,General government net lending/borrowing,National currency,Billions,,,,,,,,,,,,,,,,,,-42.169,-42.654,-44.588,-44.534,-46.902,-37.912,-32.051,-37.754,-28.178,-29.422,-31.76,-55.887,-85.339,-51.839,-45.734,-41.675,-43.34,-49.379,-57.642,-64.626,-71.545,-76.559,2012
ALB,Albania,General government net lending/borrowing,Percent of GDP,,,,,,,,,,,,,,,,,,,-13.088,-10.345,-9.401,-8.514,-8.04,-6.088,-4.618,-5.002,-3.435,-3.335,-3.282,-5.131,-7.414,-4.19,-3.469,-3.055,-3.063,-3.319,-3.676,-3.91,-4.104,-4.165,2012
ALB,Albania,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,General government primary net lending/borrowing,National currency,Billions,,,,,,,,,,,,,,,,,,-23.39,-6.568,-9.189,-13.937,-21.397,-13.15,-2.228,-9.331,-2.149,-4.416,-6.165,-24.58,-49.038,-10.235,-4.611,-0.178,4.464,4.454,3.845,2.245,0.716,1.984,2012
ALB,Albania,General government primary net lending/borrowing,Percent of GDP,,,,,,,,,,,,,,,,,,,-7.26,-1.593,-1.937,-2.665,-3.668,-2.112,-0.321,-1.236,-0.262,-0.501,-0.637,-2.256,-4.26,-0.827,-0.35,-0.013,0.316,0.299,0.245,0.136,0.041,0.108,2012
ALB,Albania,General government net debt,National currency,Billions,,,,,,,,,,,,,,,,,,272.581,312.183,344.666,364.215,384.205,407.653,421.371,433.363,474.442,500.057,517.031,595.866,682.517,715.341,772.33,826.676,874.119,928.251,989.898,1057.85,1131.6,1209.55,2012
ALB,Albania,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,,,,84.604,75.713,72.67,69.634,65.86,65.464,60.708,57.413,57.843,56.682,53.431,54.702,59.297,57.821,58.577,60.597,61.785,62.395,63.128,63.994,64.916,65.796,2012
ALB,Albania,General government gross debt,National currency,Billions,,,,,,,,,,,,,,,,,,272.581,312.183,344.666,364.215,384.205,407.653,421.371,433.363,474.442,500.057,517.031,595.866,682.517,715.341,772.33,826.676,874.119,928.251,989.898,1057.85,1131.6,1209.55,2012
ALB,Albania,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,84.604,75.713,72.67,69.634,65.86,65.464,60.708,57.413,57.843,56.682,53.431,54.702,59.297,57.821,58.577,60.597,61.785,62.395,63.128,63.994,64.916,65.796,2012
ALB,Albania,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,,,,,,,,,,,,,,,,,314.878,322.186,412.326,474.291,523.043,583.369,622.711,694.098,754.823,820.225,882.209,967.67,1089.29,1151.02,1237.16,1318.49,1364.21,1414.78,1487.7,1568.08,1653.03,1743.18,1838.33,2012
ALB,Albania,Current account balance,U.S. dollars,Billions,0.001,-0.01,-0.052,-0.037,-0.03,-0.027,0.001,0.007,-0.025,-0.075,-0.096,-0.165,-0.069,0.024,-0.087,-0.057,-0.171,-0.218,-0.089,0.077,-0.134,-0.125,-0.318,-0.286,-0.292,-0.498,-0.508,-1.109,-1.975,-1.706,-1.353,-1.561,-1.283,-1.264,-1.25,-1.215,-1.082,-0.985,-0.895,2011
ALB,Albania,Current account balance,Percent of GDP,,0.057,-0.483,-2.404,-1.681,-1.398,-1.23,0.06,0.282,-1.046,-2.857,-4.58,-13.133,-8.692,1.778,-3.935,-2.09,-5.677,-9.909,-3.274,2.236,-3.684,-3.07,-7.163,-4.973,-3.967,-6.06,-5.644,-10.371,-15.189,-14.016,-11.372,-12.037,-10.114,-9.444,-9.003,-8.434,-7.22,-6.31,-5.5,2008
DZA,Algeria,"Gross domestic product, constant prices",National currency,Billions,2584.78,2662.33,2832.72,2985.68,3152.88,3329.44,3322.78,3299.52,3236.83,3392.2,3434.66,3393.45,3447.74,3375.25,3344.88,3473.58,3605.57,3645.24,3831.05,3953.65,4103.88,4227,4463.71,4785.1,4990.86,5285.32,5375.17,5557.93,5669.08,5765.46,5973.02,6114.56,6269.26,6477.9,6699.84,6941.51,7202.4,7478.33,7767.96,2011
DZA,Algeria,"Gross domestic product, constant prices",Percent change,,-5.4,3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,1.252,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.098,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2,1.7,3.6,2.37,2.53,3.328,3.426,3.607,3.758,3.831,3.873,2011
DZA,Algeria,"Gross domestic product, current prices",National currency,Billions,162.5,191.5,207.6,233.7,263.9,291.6,296.6,312.7,347.7,422.043,554.4,862.132,1074.7,1189.72,1487.4,2004.99,2570,2780.2,2830.49,3248.2,4123.5,4227.1,4522.8,5252.3,6149.1,7562,8514.8,9366.6,11077.1,10006.8,12034.4,14481,16114.85,17460.1,18568.33,19816.98,21125.66,22715.72,24023.76,2011
DZA,Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.208,135.175,171.518,137.587,161.783,198.768,207.794,210.51,212.201,214.258,219.622,225.508,238.452,2011
DZA,Algeria,"Gross domestic product, deflator",Index,,6.287,7.193,7.329,7.827,8.37,8.758,8.926,9.477,10.742,12.442,16.141,25.406,31.171,35.248,44.468,57.721,71.279,76.269,73.883,82.157,100.478,100.002,101.324,109.764,123.207,143.076,158.41,168.527,195.395,173.565,201.479,236.828,257.045,269.533,277.146,285.485,293.314,303.754,309.267,2011
DZA,Algeria,"Gross domestic product per capita, constant prices",National currency,Units,138475.51,138331.47,142605.54,145529.49,148896.41,149974.89,145736.14,141005.32,134308.44,137336.09,137265.75,132334.26,131237.59,125502.13,121649.58,123791.08,126219.06,125503.01,129835.34,131942.1,134527.09,136557.47,142093.08,150073.68,154200.66,160868.03,161169.67,164153.98,164928.4,165223.05,168619.68,170064.63,171790.46,174884.31,178203.04,181902.47,185949.75,190220.38,194667.42,2011
